time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-6.60572300594448e-06,8.631601871336257e-06,10.001088855465502,0.002759046596083614,0.002140875922821195,0.0,-0.0004046107231794638,0.0005273658949281759,0.03629400059497555,0.01703531232514501,0.014873149951134288,0.0,414.72991168798643,416.0338953872918,416.26727802329043,417.75499869110786
0.12000000000000001,-0.00010018963978632509,0.0001291091309331485,10.004278906020687,0.013002422845244332,0.010138938749922666,0.0,-0.0034802881353007205,0.004464694458259088,0.07002928885452192,-0.017451164258928176,-0.015552169008045617,0.0,415.81117284468314,413.1376610877682,417.73946511318945,414.72189267378326
0.18,-0.0005274061311726471,0.0006775782551602469,10.012727910748522,0.011954360629946592,0.009239473066881665,0.0,-0.010661572702303074,0.013704079278204856,0.2115901668044853,-0.017501850695256276,-0.01441130216950045,0.0,449.8552012036876,449.9476608050918,449.9703696267235,449.96634441520735
0.23999999999999996,-0.0013698089116904516,0.0017461054282956183,10.028641963808388,0.01102125049682634,0.011445739221904283,0.0,-0.01766686150418957,0.021822238723079482,0.318852243516628,-0.022636410965025475,-0.03484555570855329,0.0,439.9832621005786,438.2884722867138,439.64790792073484,439.22239109697017
0.3,-0.0026970227598766237,0.003299022985131703,10.052732784533385,0.00966528346481077,0.01377372653675657,0.0,-0.026808616493086423,0.029789441296298545,0.48411765891812064,-0.022530234661196875,-0.012987343203844998,0.0,455.5841154992706,457.3279848614228,458.1377484250966,458.1461735040089
0.36000000000000004,-0.004631469702157596,0.0052915731610360395,10.085501726329204,0.00947254405709419,0.021180882857183114,0.0,-0.038488542018979346,0.03659655854791685,0.6081087406398762,-0.011875798944104274,-0.04555315069196743,0.0,446.7378087263855,444.0747296150725,443.6595955875272,444.53342424071064
0.4200000000000001,-0.007471625670829367,0.00775903855990857,10.129995551398927,0.015940403565957162,0.018482605231685767,0.0,-0.05583669997728556,0.04643425726836908,0.8748504222339095,0.01630261689887227,-0.04438064168040799,0.0,488.2753899687119,488.36186163802677,485.47820869260556,487.5876456667915
0.48000000000000015,-0.011203583427014328,0.01087771876599973,10.185425891364211,0.016999003750856723,0.01901200493343147,0.0,-0.06859579542799515,0.05763260079571935,0.9727460231901875,0.01177192995664659,-0.025971939218794586,0.0,436.31747634096683,437.85070465831814,437.2888427173584,436.9112154542013
0.5400000000000001,-0.01581205710033329,0.014791055708745237,10.252172066480506,0.01939933667358318,0.018649856725389213,0.0,-0.08495477855381063,0.07313562347481976,1.2518577416113588,-0.0037361462650730374,-0.01513123979427924,0.0,490.7622812524305,491.56618969038874,492.41013605468214,491.26161365900765
0.6000000000000002,-0.021400396273204312,0.019685657370282383,10.33560692034639,0.019761145831069804,0.020193061583041683,0.0,-0.10149456655262513,0.0900698273429681,1.5289698321884493,-0.0134070832790478,0.0008609044638235794,0.0,491.5858644311499,492.76945265208957,491.20101991047017,490.48349795163546
0.6600000000000003,-0.028045221567493245,0.025602118243018675,10.435478143580836,0.020528090532621945,0.026838767941077535,0.0,-0.12087445439761485,0.10721872732509481,1.7996614485852085,-0.0008228634759902369,-0.028494474101822848,0.0,490.6250725306898,488.44096774219076,490.8037416364295,491.7368716073556
0.7200000000000003,-0.03589570599527543,0.03250058535261854,10.548142786420978,0.021947023516072584,0.026507362705051385,0.0,-0.14075258608795935,0.12289707482732572,1.9555689365873208,-0.015350862462656283,-0.01677823438383385,0.0,457.95882594485283,458.88966401901524,457.2450711465467,456.0863810611741
0.7800000000000004,-0.04497015208608026,0.04039903819176454,10.671543942156742,0.02264284108607395,0.026277774933649134,0.0,-0.16170591472830992,0.14047557837925004,2.1574402416321616,-0.03053179194483601,-0.027709331263143115,0.0,472.48503807667134,471.64163056594765,472.24316794657693,471.0708247463507
0.8400000000000004,-0.05521897475924918,0.049334480081993225,10.804344994616125,0.030146362141217686,0.02462236085883518,0.0,-0.17974464212939453,0.1581818626191627,2.269027418826813,-0.06522368731091713,-0.027393607553397335,0.0,445.46905763142036,445.4946848570506,446.3628746015779,443.52177086053916
0.9000000000000005,-0.06657627173974741,0.059507158898142856,10.945691826643117,0.028151205498969212,0.027002036416085673,0.0,-0.19906857399237812,0.18068937727736242,2.4421769609426156,-0.08164360029362848,-0.0065883319432241865,0.0,464.0855331592591,465.71564543042484,464.8560518047857,463.5640132373944
0.9600000000000005,-0.07904206459687851,0.0708763649865035,11.09389182997241,0.02360378479302927,0.02660751592995858,0.0,-0.21642020534262596,0.19785317744884925,2.4977147347366135,-0.08944599930562643,-0.00902665160397247,0.0,429.5831401938609,429.3764462105651,428.0614235162442,427.3908355958441
1.0200000000000005,-0.09265214786425695,0.08327433173771029,11.249083859413213,0.020291261303939656,0.029745769231631414,0.0,-0.23757229385194478,0.21500966465281451,2.6749522305157547,-0.07490011140675278,0.010821490507742792,0.0,467.17266969111756,468.7177189277961,464.96802372877744,466.10064009081356
1.0800000000000005,-0.1075245898961235,0.09657286404247237,11.412425522135925,0.015785466355850097,0.031370373566000254,0.0,-0.25834645457020017,0.22781413070631917,2.7695472061757815,-0.07626342554964816,-0.0012632313897475728,0.0,442.7197520319639,441.7242205682412,442.3026627824062,442.18587676976523
1.1400000000000006,-0.12357901133263254,0.11050872940414497,11.578481175372783,0.01292512227127851,0.031806691883566884,0.0,-0.27684812099988393,0.23647942873283334,2.765651988399316,-0.09186173264035806,-0.010393725684094433,0.0,411.15275544625047,410.3430906547037,410.96893444392396,409.5780044543802
